Data used for the WHO UNICEF coverage estimates 2024 revision (completed July 2025),,,,,,,,,,,,,
ISO3,surveyNameEnglish,surveyNameProduction,collectBegin,collectEnd,cohortYear,vaccine,evidence,cardsSeen,validity,ageVaccination,ageInterview,coverage,denominator
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,DTP3,Record or Recall,49.5,CRUDE,0-23 m,12-23 m,53.5,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,FULL,Record,49.5,CRUDE,0-23 m,12-23 m,17.8,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,FULL,Record or Recall,49.5,CRUDE,0-23 m,12-23 m,42.2,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,HEPB1,Record,49.5,CRUDE,0-23 m,12-23 m,29.6,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,HEPB1,Record or Recall,49.5,CRUDE,0-23 m,12-23 m,56,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,HEPB3,Record,49.5,CRUDE,0-23 m,12-23 m,19.5,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,HEPB3,Record or Recall,49.5,CRUDE,0-23 m,12-23 m,41.2,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,MCV1,Record,49.5,CRUDE,0-23 m,12-23 m,25.8,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,MCV1,Record or Recall,49.5,CRUDE,0-23 m,12-23 m,62.4,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,POL1,Record,49.5,CRUDE,0-23 m,12-23 m,31.7,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,POL1,Record or Recall,49.5,CRUDE,0-23 m,12-23 m,78.5,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,POL3,Record,49.5,CRUDE,0-23 m,12-23 m,22,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,POL3,Record or Recall,49.5,CRUDE,0-23 m,12-23 m,60.7,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,TT2+,Record or Recall,49.5,CRUDE,0-23 m,12-23 m,7,
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,YFV,Record,49.5,CRUDE,0-23 m,12-23 m,20.3,23414
NGA,Nigeria National Immunization Coverage Survey (2006),Nigeria National Immunization Coverage Survey (2006),2006-10,2006-10,2005,YFV,Record or Recall,49.5,CRUDE,0-23 m,12-23 m,42.9,23414
